Metric,Value
AUC,0.8347694529717193
Accuracy,0.7938877043354655
Precision,0.6346153846153846
Recall,0.5294117647058824
F1,0.577259475218659
Test Set Size,1407.0
Churn Rate (Test),0.2658137882018479
